number;date;time;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20
[N];[DD.MM.JJJJ];[h:m:s];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C];[°C]
7;18.07.2019;00:01:07;21,18;20,31;19,25;18,56;21;19,31;18,56;18,5;18,81;18,87;16,93;22,43;22;18,31;18,12;20,37;21,93;18,68;18,68;19,31
13;18.07.2019;00:02:15;21,18;20,31;19,25;18,56;21;19,31;18,56;18,5;18,81;18,93;16,93;22,43;21,93;18,37;18,12;20,37;21,93;18,62;18,68;19,25
19;18.07.2019;00:03:22;21,18;20,31;19,25;18,56;21;19,31;18,56;18,5;18,81;18,93;16,93;22,43;21,93;18,37;18,25;20,37;21,93;18,62;18,68;19,31
25;18.07.2019;00:04:29;21,18;20,37;19,25;18,56;21;19,31;18,56;18,43;18,87;18,93;16,87;22,43;21,93;18,37;18,25;20,43;21,93;18,68;18,62;19,31
31;18.07.2019;00:05:37;21,18;20,37;19,25;18,56;21;19,31;18,56;18,5;18,81;18,93;16,93;22,37;21,93;18,37;18,25;20,43;22;18,62;18,68;19,25
37;18.07.2019;00:06:44;21,18;20,37;19,25;18,56;21;19,31;18,62;18,43;18,81;18,93;17,06;22,37;21,93;18,43;18,25;20,37;21,93;18,62;18,62;19,25
43;18.07.2019;00:07:52;21,18;20,31;19,25;18,56;20,93;19,31;18,56;18,43;18,81;18,93;17,06;22,37;21,87;18,37;18,18;20,37;21,93;18,62;18,62;19,31
49;18.07.2019;00:08:59;21,18;20,31;19,25;18,5;21;19,31;18,56;18,43;18,81;18,93;17;22,37;21,87;18,31;18,12;20,37;21,87;18,62;18,68;19,31
55;18.07.2019;00:10:07;21,18;20,25;19,25;18,56;20,93;19,31;18,56;18,43;18,81;18,93;17,06;22,31;21,87;18,31;18,12;20,37;21,87;18,62;18,62;19,25
61;18.07.2019;00:11:14;21,18;20,25;19,25;18,5;21;19,31;18,56;18,43;18,81;18,93;17,06;22,31;21,87;18,25;18,12;20,37;21,93;18,62;18,62;19,31
67;18.07.2019;00:12:22;21,18;20,25;19,25;18,56;20,93;19,31;18,56;18,43;18,81;18,87;17;22,31;21,87;18,25;18,12;20,37;21,93;18,62;18,62;19,25
73;18.07.2019;00:13:29;21,18;20,18;19,25;18,5;21;19,31;18,56;18,43;18,81;18,87;17,06;22,31;21,81;18,25;18,06;20,37;21,93;18,62;18,62;19,25
79;18.07.2019;00:14:37;21,18;20,18;19,25;18,5;20,93;19,31;18,56;18,43;18,81;18,87;16,93;22,31;21,81;18,25;18,06;20,37;21,87;18,62;18,62;19,31
85;18.07.2019;00:15:44;21,18;20,18;19,25;18,5;21;19,31;18,56;18,43;18,81;18,87;16,87;22,31;21,81;18,18;18;20,37;21,93;18,62;18,62;19,31
91;18.07.2019;00:16:52;21,18;20,25;19,25;18,5;21;19,31;18,56;18,43;18,81;18,87;16,81;22,31;21,75;18,25;18,06;20,37;21,93;18,62;18,62;19,31
97;18.07.2019;00:17:59;21,18;20,25;19,25;18,5;20,93;19,31;18,56;18,43;18,81;18,87;16,81;22,25;21,75;18,25;18,06;20,37;21,93;18,62;18,62;19,31
103;18.07.2019;00:19:07;21,18;20,31;19,25;18,5;20,93;19,31;18,56;18,43;18,81;18,87;16,81;22,25;21,75;18,31;18,06;20,37;21,93;18,62;18,62;19,31
109;18.07.2019;00:20:14;21,18;20,31;19,25;18,56;21;19,31;18,56;18,43;18,81;18,87;16,81;22,25;21,75;18,31;18,12;20,43;21,93;18,62;18,62;19,31
115;18.07.2019;00:21:21;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,81;18,93;16,75;22,25;21,68;18,31;18,06;20,43;21,87;18,62;18,62;19,31
121;18.07.2019;00:22:29;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,75;18,87;16,68;22,25;21,68;18,25;18,06;20,37;21,81;18,62;18,62;19,25
127;18.07.2019;00:23:36;21,18;20,31;19,18;18,5;20,93;19,31;18,5;18,43;18,75;18,87;16,62;22,18;21,68;18,25;18,06;20,31;21,75;18,62;18,62;19,25
133;18.07.2019;00:24:44;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,81;18,87;16,62;22,18;21,68;18,25;18,06;20,37;21,81;18,62;18,56;19,25
139;18.07.2019;00:25:51;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,81;18,87;16,68;22,18;21,68;18,25;18,06;20,37;21,81;18,62;18,62;19,25
145;18.07.2019;00:26:59;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,75;18,93;16,68;22,18;21,62;18,25;18,12;20,43;21,81;18,62;18,62;19,25
151;18.07.2019;00:28:06;21,18;20,37;19,25;18,5;20,93;19,31;18,5;18,43;18,75;18,93;16,62;22,12;21,62;18,31;18,12;20,43;21,81;18,62;18,62;19,31
157;18.07.2019;00:29:14;21,18;20,37;19,25;18,5;20,93;19,31;18,5;18,43;18,75;18,93;16,62;22,12;21,62;18,31;18,12;20,43;21,81;18,62;18,62;19,31
163;18.07.2019;00:30:21;21,18;20,37;19,25;18,5;21;19,31;18,5;18,43;18,81;18,93;16,68;22,18;21,62;18,31;18,12;20,43;21,81;18,62;18,62;19,31
169;18.07.2019;00:31:29;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,81;18,93;16,75;22,12;21,56;18,31;18,12;20,43;21,81;18,62;18,62;19,25
175;18.07.2019;00:32:36;21,18;20,25;19,25;18,5;20,93;19,31;18,5;18,43;18,75;18,87;16,75;22,12;21,56;18,25;18,06;20,43;21,81;18,62;18,62;19,25
181;18.07.2019;00:33:44;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,75;18,93;16,68;22,12;21,56;18,25;18,06;20,37;21,75;18,62;18,56;19,25
187;18.07.2019;00:34:51;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,75;18,87;16,68;22,06;21,56;18,25;18;20,37;21,75;18,62;18,62;19,25
193;18.07.2019;00:35:59;21,18;20,31;19,25;18,5;20,93;19,31;18,5;18,43;18,81;18,87;16,68;22,06;21,56;18,25;18,06;20,43;21,81;18,62;18,62;19,31
199;18.07.2019;00:37:06;21,18;20,25;19,25;18,5;20,93;19,31;18,5;18,43;18,81;18,87;16,68;22,06;21,5;18,25;18,06;20,43;21,75;18,62;18,56;19,25
205;18.07.2019;00:38:14;21,18;20,31;19,25;18,5;20,93;19,31;18,43;18,43;18,75;18,87;16,68;22,06;21,5;18,25;18;20,37;21,75;18,62;18,56;19,25
211;18.07.2019;00:39:21;21,18;20,25;19,25;18,5;20,93;19,31;18,5;18,43;18,75;18,87;16,68;22,06;21,5;18,25;18;20,37;21,75;18,62;18,56;19,31
217;18.07.2019;00:40:29;21,18;20,25;19,25;18,5;20,93;19,31;18,43;18,37;18,75;18,87;16,75;22,06;21,5;18,18;18;20,37;21,62;18,62;18,56;19,25
223;18.07.2019;00:41:36;21,18;20,18;19,18;18,43;20,93;19,25;18,5;18,37;18,81;18,81;16,75;22,06;21,43;18,18;18;20,31;21,5;18,62;18,56;19,31
229;18.07.2019;00:42:44;21,18;20,18;19,18;18,5;20,93;19,31;18,43;18,37;18,75;18,81;16,68;22;21,43;18,18;17,93;20,31;21,5;18,62;18,56;19,25
235;18.07.2019;00:43:51;21,18;20,18;19,18;18,5;20,93;19,31;18,43;18,37;18,75;18,81;16,62;22;21,43;18,12;17,93;20,31;21,5;18,62;18,56;19,25
241;18.07.2019;00:44:59;21,18;20,18;19,18;18,5;20,93;19,31;18,43;18,43;18,75;18,81;16,62;22;21,43;18,12;17,93;20,31;21,56;18,62;18,56;19,25
247;18.07.2019;00:46:06;21,18;20,18;19,18;18,43;20,93;19,31;18,43;18,37;18,75;18,81;16,56;22;21,43;18,12;17,87;20,31;21,56;18,62;18,56;19,31
253;18.07.2019;00:47:14;21,18;20,12;19,18;18,43;20,93;19,25;18,43;18,37;18,75;18,81;16,5;22;21,37;18,12;17,87;20,31;21,5;18,62;18,5;19,25
259;18.07.2019;00:48:21;21,18;20,12;19,18;18,43;20,93;19,31;18,43;18,37;18,75;18,81;16,43;22;21,37;18,06;17,87;20,31;21,5;18,62;18,56;19,25
265;18.07.2019;00:49:29;21,18;20,06;19,12;18,43;20,93;19,31;18,43;18,37;18,75;18,75;16,31;21,93;21,37;18,06;17,81;20,25;21,43;18,62;18,5;19,25
271;18.07.2019;00:50:36;21,12;20,06;19,12;18,43;20,93;19,25;18,43;18,37;18,75;18,68;16,31;21,93;21,37;18;17,75;20,25;21,43;18,62;18,5;19,31
277;18.07.2019;00:51:44;21,18;20,06;19,12;18,43;20,93;19,31;18,43;18,37;18,75;18,68;16,31;21,93;21,37;18;17,68;20,25;21,5;18,62;18,5;19,25
283;18.07.2019;00:52:51;21,18;20,06;19,12;18,43;20,93;19,31;18,37;18,37;18,75;18,68;16,31;21,93;21,31;18;17,68;20,25;21,5;18,62;18,5;19,25
289;18.07.2019;00:53:59;21,18;20,12;19,12;18,43;20,93;19,31;18,37;18,37;18,75;18,68;16,18;21,87;21,31;18;17,68;20,31;21,5;18,62;18,5;19,31
295;18.07.2019;00:55:06;21,18;20,12;19,12;18,43;20,93;19,31;18,37;18,37;18,75;18,75;16,06;21,87;21,31;18,06;17,75;20,31;21,5;18,62;18,5;19,25
301;18.07.2019;00:56:14;21,18;20,12;19,12;18,43;20,93;19,31;18,37;18,37;18,75;18,68;16;21,87;21,25;18;17,75;20,25;21,43;18,62;18,5;19,25
307;18.07.2019;00:57:21;21,18;20,06;19,12;18,43;20,87;19,25;18,37;18,37;18,75;18,75;15,93;21,87;21,25;18;17,68;20,25;21,37;18,62;18,43;19,25
313;18.07.2019;00:58:29;21,18;20,12;19,18;18,43;20,93;19,31;18,37;18,37;18,75;18,68;15,93;21,87;21,25;18;17,68;20,31;21,43;18,56;18,5;19,25
319;18.07.2019;00:59:36;21,12;20,12;19,12;18,43;20,93;19,31;18,37;18,37;18,68;18,68;16;21,81;21,25;18;17,68;20,31;21,43;18,62;18,5;19,25
325;18.07.2019;01:00:43;21,12;20,12;19,12;18,43;20,87;19,31;18,37;18,37;18,75;18,68;16;21,81;21,25;18;17,68;20,31;21,43;18,56;18,5;19,25
331;18.07.2019;01:01:51;21,18;20,12;19,12;18,43;20,93;19,31;18,37;18,37;18,68;18,68;15,93;21,81;21,18;17,93;17,62;20,31;21,43;18,56;18,5;19,25
337;18.07.2019;01:02:58;21,18;20,06;19,12;18,37;20,87;19,31;18,31;18,37;18,68;18,68;15,87;21,81;21,18;17,93;17,56;20,25;21,43;18,62;18,5;19,25
343;18.07.2019;01:04:06;21,18;20,06;19,12;18,37;20,87;19,31;18,31;18,37;18,68;18,68;15,75;21,81;21,18;17,93;17,62;20,25;21,37;18,62;18,43;19,25
349;18.07.2019;01:05:13;21,18;20,06;19,12;18,43;20,87;19,25;18,31;18,37;18,68;18,68;15,68;21,81;21,18;17,93;17,62;20,31;21,43;18,56;18,43;19,25
355;18.07.2019;01:06:21;21,18;20;19,12;18,37;20,87;19,31;18,31;18,37;18,68;18,62;15,68;21,75;21,18;17,93;17,62;20,31;21,43;18,62;18,43;19,25
361;18.07.2019;01:07:28;21,18;20,06;19,12;18,43;20,87;19,25;18,37;18,37;18,68;18,62;15,75;21,75;21,12;17,93;17,56;20,25;21,37;18,62;18,43;19,25
367;18.07.2019;01:08:35;21,12;20,06;19,12;18,37;20,87;19,25;18,31;18,37;18,68;18,62;15,75;21,75;21,12;17,87;17,62;20,25;21,37;18,56;18,43;19,25
373;18.07.2019;01:09:43;21,12;20,06;19,12;18,37;20,87;19,25;18,31;18,31;18,68;18,68;15,81;21,75;21,12;17,87;17,62;20,25;21,43;18,56;18,43;19,25
379;18.07.2019;01:10:50;21,12;20,06;19,12;18,37;20,87;19,25;18,31;18,37;18,68;18,62;15,81;21,75;21,12;17,93;17,68;20,31;21,43;18,56;18,43;19,25
385;18.07.2019;01:11:58;21,12;20,12;19,12;18,37;20,87;19,25;18,31;18,31;18,68;18,68;15,81;21,75;21,06;17,93;17,68;20,31;21,37;18,62;18,43;19,25
391;18.07.2019;01:13:05;21,18;20,12;19,12;18,37;20,87;19,25;18,31;18,31;18,68;18,68;15,81;21,68;21,06;17,93;17,68;20,31;21,43;18,56;18,43;19,25
397;18.07.2019;01:14:13;21,12;20,12;19,12;18,37;20,87;19,25;18,31;18,37;18,68;18,68;15,81;21,68;21,06;18;17,68;20,31;21,37;18,56;18,43;19,25
403;18.07.2019;01:15:20;21,12;20,12;19,12;18,37;20,87;19,25;18,31;18,37;18,62;18,68;15,81;21,68;21,06;18;17,68;20,31;21,37;18,56;18,43;19,25
409;18.07.2019;01:16:28;21,18;20,06;19,12;18,37;20,87;19,25;18,31;18,31;18,68;18,68;15,81;21,68;21;17,93;17,62;20,31;21,37;18,56;18,43;19,25
415;18.07.2019;01:17:35;21,12;20,12;19,12;18,37;20,87;19,25;18,31;18,37;18,68;18,68;15,81;21,62;21;17,93;17,62;20,31;21,37;18,56;18,43;19,25
421;18.07.2019;01:18:43;21,12;20,06;19,12;18,37;20,81;19,25;18,31;18,31;18,68;18,68;15,87;21,62;21;17,93;17,62;20,31;21,25;18,56;18,43;19,25
427;18.07.2019;01:19:50;21,12;20,06;19,12;18,31;20,87;19,25;18,25;18,31;18,68;18,68;15,81;21,62;21;17,87;17,62;20,25;21,25;18,56;18,37;19,25
433;18.07.2019;01:20:58;21,12;20;19,12;18,37;20,87;19,25;18,25;18,31;18,68;18,62;15,75;21,62;21;17,87;17,56;20,25;21,18;18,56;18,37;19,25
439;18.07.2019;01:22:05;21,12;20;19,06;18,37;20,87;19,25;18,25;18,31;18,68;18,62;15,62;21,62;20,93;17,81;17,56;20,25;21,12;18,56;18,37;19,25
445;18.07.2019;01:23:13;21,12;20;19,06;18,31;20,81;19,25;18,25;18,31;18,68;18,62;15,56;21,62;20,93;17,81;17,5;20,18;21,06;18,56;18,37;19,25
451;18.07.2019;01:24:20;21,12;20;19,06;18,37;20,81;19,25;18,25;18,31;18,68;18,62;15,5;21,56;20,93;17,75;17,5;20,18;21,06;18,56;18,37;19,25
457;18.07.2019;01:25:28;21,12;19,93;19,06;18,31;20,81;19,25;18,25;18,31;18,62;18,56;15,43;21,56;20,93;17,81;17,5;20,18;21,06;18,56;18,31;19,25
463;18.07.2019;01:26:35;21,12;19,93;19,06;18,37;20,81;19,25;18,25;18,31;18,68;18,56;15,43;21,56;20,87;17,75;17,43;20,18;21,06;18,56;18,37;19,25
469;18.07.2019;01:27:43;21,12;19,93;19;18,31;20,81;19,25;18,25;18,31;18,62;18,5;15,43;21,56;20,87;17,75;17,43;20,12;21;18,56;18,37;19,25
475;18.07.2019;01:28:50;21,12;19,87;19;18,31;20,81;19,25;18,18;18,31;18,68;18,5;15,37;21,5;20,87;17,68;17,37;20,12;20,93;18,56;18,31;19,25
481;18.07.2019;01:29:58;21,12;19,87;19;18,31;20,81;19,25;18,18;18,31;18,62;18,5;15,37;21,5;20,87;17,68;17,37;20,12;21;18,56;18,31;19,25
487;18.07.2019;01:31:05;21,12;19,87;19;18,31;20,81;19,25;18,18;18,31;18,62;18,43;15,31;21,5;20,87;17,68;17,37;20,12;21;18,56;18,31;19,25
493;18.07.2019;01:32:13;21,12;19,81;19;18,31;20,87;19,25;18,18;18,31;18,62;18,5;15,37;21,5;20,81;17,68;17,31;20,18;21;18,56;18,31;19,31
499;18.07.2019;01:33:20;21,12;19,87;19;18,31;20,81;19,25;18,18;18,31;18,62;18,43;15,43;21,5;20,81;17,68;17,31;20,18;21,06;18,56;18,31;19,25
505;18.07.2019;01:34:28;21,12;19,81;19;18,31;20,81;19,25;18,18;18,31;18,62;18,5;15,43;21,5;20,81;17,62;17,25;20,12;21,06;18,56;18,37;19,25
511;18.07.2019;01:35:35;21,12;19,81;19;18,31;20,81;19,25;18,18;18,25;18,62;18,43;15,43;21,43;20,81;17,62;17,25;20,06;21;18,56;18,31;19,25
517;18.07.2019;01:36:42;21,12;19,81;19;18,31;20,81;19,25;18,18;18,31;18,62;18,37;15,31;21,43;20,75;17,56;17,18;20,12;20,93;18,56;18,31;19,25
523;18.07.2019;01:37:50;21,12;19,81;19;18,31;20,81;19,25;18,18;18,31;18,62;18,37;15,31;21,43;20,75;17,56;17,18;20,12;21;18,5;18,31;19,25
529;18.07.2019;01:38:57;21,12;19,81;19;18,31;20,81;19,25;18,18;18,31;18,62;18,43;15,25;21,43;20,75;17,56;17,18;20,06;21;18,56;18,31;19,25
535;18.07.2019;01:40:05;21,06;19,81;19;18,31;20,81;19,25;18,18;18,25;18,62;18,43;15,25;21,43;20,75;17,62;17,18;20,12;21;18,56;18,31;19,25
541;18.07.2019;01:41:12;21,12;19,81;18,93;18,25;20,81;19,18;18,18;18,31;18,62;18,43;15,25;21,37;20,75;17,62;17,25;20,06;20,93;18,5;18,31;19,25
547;18.07.2019;01:42:20;21,06;19,81;18,93;18,25;20,75;19,25;18,12;18,25;18,62;18,43;15,18;21,37;20,68;17,62;17,25;20,06;20,93;18,5;18,31;19,25
553;18.07.2019;01:43:27;21,06;19,87;18,93;18,25;20,75;19,25;18,12;18,25;18,62;18,43;15,18;21,37;20,68;17,62;17,31;20,12;20,87;18,5;18,31;19,25
559;18.07.2019;01:44:35;21,06;19,93;19;18,25;20,75;19,25;18,12;18,25;18,56;18,5;15,18;21,31;20,68;17,68;17,31;20,12;21;18,5;18,31;19,25
565;18.07.2019;01:45:42;21,06;19,93;19;18,25;20,75;19,18;18,12;18,25;18,56;18,5;15,18;21,31;20,68;17,75;17,37;20,18;21;18,5;18,25;19,25
571;18.07.2019;01:46:50;21,06;19,93;19;18,25;20,75;19,18;18,12;18,25;18,62;18,56;15,18;21,31;20,68;17,81;17,43;20,18;21;18,5;18,31;19,25
577;18.07.2019;01:47:57;21,06;20;19;18,25;20,75;19,18;18,12;18,25;18,56;18,56;15,12;21,31;20,62;17,81;17,5;20,25;21;18,5;18,31;19,25
583;18.07.2019;01:49:05;21,06;19,93;19,06;18,25;20,75;19,18;18,12;18,25;18,62;18,56;15,12;21,31;20,62;17,81;17,43;20,25;21;18,5;18,31;19,25
589;18.07.2019;01:50:12;21,06;19,87;19,06;18,25;20,75;19,18;18,12;18,25;18,56;18,5;15,37;21,25;20,62;17,68;17,37;20,25;21;18,5;18,31;19,25
595;18.07.2019;01:51:20;21,06;19,81;19;18,25;20,75;19,18;18,12;18,25;18,56;18,5;15,43;21,31;20,62;17,68;17,25;20,18;20,93;18,5;18,31;19,25
601;18.07.2019;01:52:27;21,06;19,81;19;18,25;20,75;19,18;18,12;18,25;18,56;18,43;15,31;21,25;20,56;17,62;17,25;20,12;20,93;18,5;18,25;19,25
607;18.07.2019;01:53:35;21,06;19,75;18,93;18,25;20,75;19,18;18,06;18,25;18,56;18,37;15,06;21,25;20,56;17,56;17,18;20,06;20,75;18,5;18,25;19,25
613;18.07.2019;01:54:42;21,06;19,75;18,93;18,18;20,75;19,18;18,06;18,25;18,56;18,37;14,93;21,25;20,56;17,5;17,12;20,06;20,68;18,5;18,25;19,25
619;18.07.2019;01:55:49;21,06;19,75;18,93;18,18;20,75;19,18;18,06;18,25;18,56;18,31;14,87;21,25;20,56;17,5;17,12;20;20,68;18,5;18,25;19,25
625;18.07.2019;01:56:57;21,06;19,75;18,93;18,18;20,75;19,18;18,06;18,25;18,56;18,37;14,87;21,18;20,5;17,5;17,12;20;20,68;18,5;18,18;19,25
631;18.07.2019;01:58:04;21,06;19,75;18,93;18,25;20,75;19,18;18,06;18,25;18,56;18,31;14,87;21,18;20,5;17,5;17,12;20;20,62;18,5;18,18;19,25
637;18.07.2019;01:59:12;21,06;19,75;18,93;18,25;20,75;19,18;18,06;18,25;18,56;18,31;14,87;21,18;20,5;17,5;17,12;20;20,68;18,5;18,18;19,25
643;18.07.2019;02:00:19;21,06;19,75;18,87;18,18;20,68;19,18;18,06;18,25;18,56;18,37;14,93;21,18;20,5;17,5;17,18;20;20,68;18,5;18,18;19,25
649;18.07.2019;02:01:27;21,06;19,75;18,93;18,18;20,68;19,18;18,06;18,18;18,5;18,37;15;21,12;20,5;17,5;17,18;20,06;20,75;18,5;18,18;19,25
655;18.07.2019;02:02:34;21,06;19,81;18,93;18,18;20,68;19,18;18,06;18,18;18,56;18,37;15,06;21,12;20,43;17,56;17,18;20,06;20,75;18,5;18,18;19,18
661;18.07.2019;02:03:42;21,06;19,81;18,93;18,18;20,68;19,18;18,06;18,25;18,56;18,37;15,12;21,12;20,43;17,56;17,18;20,12;20,75;18,5;18,18;19,18
667;18.07.2019;02:04:49;21,06;19,75;18,93;18,18;20,68;19,18;18,06;18,18;18,5;18,37;15,25;21,12;20,43;17,56;17,18;20,12;20,75;18,43;18,25;19,25
673;18.07.2019;02:05:57;21;19,81;18,93;18,18;20,68;19,18;18,06;18,18;18,56;18,37;15,25;21,12;20,43;17,56;17,18;20,12;20,75;18,5;18,25;19,18
679;18.07.2019;02:07:04;21,06;19,81;18,93;18,18;20,68;19,18;18,06;18,18;18,56;18,37;15,37;21,12;20,43;17,62;17,18;20,12;20,75;18,5;18,25;19,25
685;18.07.2019;02:08:12;21,06;19,81;18,93;18,18;20,68;19,18;18,06;18,18;18,5;18,37;15,37;21,06;20,37;17,62;17,18;20,12;20,75;18,43;18,25;19,25
691;18.07.2019;02:09:19;21,06;19,81;18,93;18,18;20,68;19,18;18,06;18,18;18,5;18,43;15,31;21,06;20,37;17,62;17,18;20,12;20,75;18,43;18,25;19,18
697;18.07.2019;02:10:27;21;19,81;18,93;18,18;20,68;19,18;18,06;18,18;18,5;18,37;15,31;21,06;20,37;17,56;17,18;20,12;20,68;18,5;18,18;19,25
703;18.07.2019;02:11:34;21;19,81;18,93;18,18;20,68;19,12;18,06;18,18;18,5;18,37;15,31;21,06;20,37;17,56;17,18;20,06;20,68;18,43;18,18;19,18
709;18.07.2019;02:12:42;21;19,75;18,93;18,18;20,68;19,12;18,06;18,18;18,5;18,37;15,25;21,06;20,31;17,56;17,18;20,06;20,62;18,43;18,18;19,25
715;18.07.2019;02:13:49;21;19,75;18,93;18,12;20,68;19,12;18;18,18;18,5;18,37;15,25;21;20,31;17,5;17,18;20,06;20,56;18,43;18,18;19,25
721;18.07.2019;02:14:56;21;19,81;18,93;18,12;20,68;19,12;18;18,18;18,5;18,37;15,25;21;20,31;17,56;17,18;20,06;20,62;18,43;18,18;19,18
727;18.07.2019;02:16:04;21;19,81;18,93;18,18;20,62;19,12;18;18,18;18,5;18,37;15,25;21;20,31;17,62;17,25;20,12;20,62;18,43;18,18;19,18
733;18.07.2019;02:17:11;21;19,81;18,93;18,12;20,68;19,12;18;18,18;18,5;18,43;15,25;21;20,31;17,62;17,31;20,12;20,68;18,43;18,18;19,25
739;18.07.2019;02:18:19;21;19,87;18,93;18,18;20,62;19,12;18,06;18,18;18,5;18,43;15,31;21;20,31;17,68;17,31;20,12;20,68;18,43;18,18;19,18
745;18.07.2019;02:19:26;21;19,81;19;18,12;20,62;19,12;18,06;18,18;18,5;18,43;15,5;20,93;20,25;17,62;17,25;20,18;20,68;18,43;18,18;19,18
751;18.07.2019;02:20:33;21;19,81;19;18,12;20,62;19,12;18,06;18,18;18,43;18,43;15,62;21;20,25;17,62;17,25;20,18;20,68;18,43;18,25;19,18
757;18.07.2019;02:21:41;21;19,81;18,93;18,12;20,62;19,12;18,06;18,18;18,5;18,43;15,68;20,93;20,25;17,62;17,18;20,12;20,68;18,43;18,25;19,18
763;18.07.2019;02:22:48;21;19,75;19;18,12;20,62;19,12;18,06;18,12;18,5;18,43;15,62;20,93;20,25;17,56;17,18;20,12;20,62;18,43;18,25;19,18
769;18.07.2019;02:23:56;21;19,68;18,93;18,12;20,62;19,12;18,06;18,18;18,5;18,37;15,5;20,93;20,18;17,5;17,12;20,06;20,56;18,43;18,18;19,18
775;18.07.2019;02:25:03;21;19,75;18,93;18,12;20,62;19,12;18,06;18,12;18,5;18,37;15,43;20,87;20,18;17,5;17,12;20,06;20,5;18,43;18,18;19,18
781;18.07.2019;02:26:11;21;19,62;18,87;18,12;20,62;19,12;18;18,12;18,43;18,31;15,37;20,87;20,18;17,5;17,06;20,06;20,43;18,43;18,18;19,18
787;18.07.2019;02:27:18;21;19,62;18,93;18,12;20,62;19,12;18;18,12;18,43;18,25;15,31;20,87;20,18;17,43;17,06;20,06;20,37;18,43;18,18;19,18
793;18.07.2019;02:28:26;21;19,62;18,87;18,12;20,62;19,12;18;18,12;18,5;18,31;15,25;20,87;20,18;17,43;17,06;20,06;20,31;18,43;18,18;19,18
799;18.07.2019;02:29:33;21;19,62;18,87;18,06;20,62;19,12;18;18,12;18,43;18,31;15,18;20,87;20,12;17,43;17,06;20;20,31;18,43;18,18;19,18
805;18.07.2019;02:30:41;20,93;19,68;18,87;18,06;20,56;19,12;18;18,12;18,43;18,31;15,12;20,81;20,12;17,43;17,06;20;20,31;18,43;18,18;19,18
811;18.07.2019;02:31:48;21;19,68;18,93;18,12;20,62;19,12;18;18,12;18,43;18,31;15,18;20,81;20,12;17,43;17,06;20;20,31;18,43;18,12;19,18
817;18.07.2019;02:32:56;21;19,68;18,93;18,12;20,56;19,12;18;18,12;18,43;18,31;15,18;20,81;20,12;17,43;17,06;20;20,43;18,43;18,12;19,18
823;18.07.2019;02:34:03;21;19,68;18,93;18,12;20,56;19,12;18;18,12;18,43;18,31;15,18;20,81;20,12;17,5;17,06;20,06;20,43;18,43;18,18;19,18
829;18.07.2019;02:35:11;20,93;19,56;18,87;18,12;20,56;19,12;18;18,12;18,43;18,31;15,18;20,81;20,12;17,43;17;20;20,43;18,37;18,12;19,18
835;18.07.2019;02:36:18;20,93;19,56;18,87;18,12;20,56;19,12;17,93;18,12;18,43;18,25;15,18;20,75;20,12;17,37;17,06;20;20,37;18,43;18,12;19,18
841;18.07.2019;02:37:26;20,93;19,62;18,87;18,06;20,56;19,12;17,93;18,12;18,43;18,25;15,12;20,75;20,06;17,37;17,06;20;20,31;18,37;18,12;19,18
847;18.07.2019;02:38:33;20,93;19,56;18,87;18,12;20,56;19,12;17,93;18,12;18,43;18,25;15,12;20,75;20,06;17,43;17;19,93;20,31;18,43;18,12;19,18
853;18.07.2019;02:39:41;20,93;19,56;18,87;18,06;20,56;19,12;17,93;18,12;18,43;18,25;15,12;20,75;20,06;17,43;17;20;20,31;18,37;18,12;19,18
859;18.07.2019;02:40:48;20,93;19,62;18,87;18,06;20,56;19,12;17,93;18,12;18,43;18,31;15,12;20,75;20,06;17,43;17,06;20;20,31;18,43;18,12;19,18
865;18.07.2019;02:41:56;20,93;19,62;18,87;18,06;20,56;19,12;17,93;18,12;18,43;18,31;15,18;20,68;20,06;17,43;17,06;20;20,37;18,37;18,12;19,18
871;18.07.2019;02:43:03;20,93;19,62;18,87;18,06;20,56;19,12;17,93;18,12;18,43;18,31;15,12;20,75;20,06;17,43;17,06;20;20,31;18,37;18,12;19,18
877;18.07.2019;02:44:11;20,93;19,68;18,87;18,06;20,56;19,12;17,93;18,12;18,43;18,31;15,12;20,68;20;17,43;17,06;19,93;20,25;18,37;18,12;19,18
883;18.07.2019;02:45:18;20,93;19,62;18,87;18,06;20,5;19,06;18;18,06;18,43;18,31;15,18;20,68;20;17,43;17;19,93;20,25;18,37;18,12;19,18
889;18.07.2019;02:46:26;20,93;19,62;18,87;18,06;20,56;19,12;17,93;18,06;18,43;18,31;15,18;20,68;20;17,43;17;20;20,25;18,37;18,12;19,18
